"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"446","Patric Hornqvist","NSH","R","24","389.4","4","10","3","7","14","82.35","87","4.60","7.54","129","108","70","36","3","8","14","6","6","0","0","6","6","7","29","41","9","1","1","50.00"
"450","Dan Girardi","NYR","D","46","1169.2","2","12","2","10","14","36.84","81","2.47","3.76","180","127","36","3","1","3","16","8","8","0","0","6","32","15","102","89","125","0","0","-"
"457","Stephen Gionta","N.J","R","48","625.21666666667","4","10","5","5","14","66.67","58","6.90","5.54","95","86","62","30","5","2","14","7","7","0","0","15","6","21","87","52","14","137","253","35.13"
"467","Trevor Lewis","L.A","C","48","729.75","5","9","6","3","14","58.33","92","5.43","8.83","146","130","88","41","4","6","19","8","7","1","0","10","9","11","83","116","31","31","33","48.44"
"533","TJ Galiardi","S.J","L","36","499.33333333333","5","9","6","3","14","82.35","68","7.35","5.94","120","96","74","29","7","11","14","6","6","0","0","7","14","18","36","66","15","5","14","26.32"
"604","Zach Bogosian","WPG","D","33","763.08333333333","5","9","2","7","14","41.18","85","5.88","3.67","172","123","29","5","3","4","29","8","6","1","1","4","28","12","79","38","50","0","0","-"
"613","Erik Karlsson","OTT","D","17","461.63333333333","6","8","6","2","14","63.64","79","7.59","3.92","182","111","51","9","8","6","8","4","4","0","0","8","18","18","10","26","14","0","0","-"
"643","TJ Brodie","CGY","D","47","950.18333333333","2","12","5","7","14","42.42","44","4.55","2.61","107","69","32","8","3","6","8","4","4","0","0","7","36","25","24","70","74","0","0","-"
"669","Antoine Roussel","DAL","L","39","366.58333333333","7","7","4","3","14","77.78","46","15.22","5.94","69","61","45","29","3","4","85","20","10","7","3","19","8","12","75","62","16","30","25","54.55"
"685","Kyle Clifford","L.A","L","48","509.1","7","7","3","4","14","70.00","56","12.50","5.59","107","82","57","30","4","8","51","18","13","5","0","14","8","12","155","90","12","1","8","11.11"
"758","Charlie Coyle","MIN","C","37","557.31666666667","8","6","5","1","14","66.67","50","16.00","4.99","88","69","55","29","2","3","28","7","4","2","1","16","9","14","50","49","9","9","17","34.62"
"764","Beau Bennett","PIT","R","26","319.86666666667","3","11","4","7","14","58.33","30","10.00","3.16","54","45","32","19","1","1","6","3","3","0","0","4","7","10","28","35","9","1","3","25.00"
"797","Raphael Diaz","MTL","D","23","472.78333333333","1","13","4","9","14","60.87","34","2.94","1.84","73","51","16","2","1","5","6","3","3","0","0","5","17","6","11","30","44","0","0","-"
"19","Ryan Smyth","EDM","L","47","722.41666666667","2","11","9","2","13","68.42","69","2.90","6.27","113","96","68","39","5","8","40","16","15","0","1","10","26","15","41","49","24","87","115","43.07"
"33","Stephane Robidas","DAL","D","48","1067.45","1","12","5","7","13","26.00","46","2.17","2.06","129","80","30","3","0","13","56","21","18","2","1","13","18","9","136","133","93","0","0","-"
"69","Andrew Ference","BOS","D","48","935.5","4","9","5","4","13","34.21","66","6.06","2.82","160","103","33","6","1","9","35","15","14","1","0","7","31","5","89","100","60","0","0","-"
"89","Erik Cole","DAL, MTL","L","47","770.43333333333","9","4","1","3","13","33.33","86","10.47","10.14","170","129","100","56","5","14","20","10","10","0","0","21","17","18","101","67","27","22","45","32.84"
"125","Ruslan Fedotenko","PHI","L","47","590.96666666667","4","9","5","4","13","56.52","43","9.30","4.29","83","64","41","19","5","6","12","6","6","0","0","8","12","13","52","29","34","67","119","36.02"
"135","Ron Hainsey","WPG","D","47","1074.4166666667","0","13","5","8","13","33.33","52","0.00","1.78","121","73","29","3","3","5","10","5","5","0","0","4","32","8","36","58","123","0","0","-"
"217","Tom Gilbert","MIN","D","43","830.78333333333","3","10","4","6","13","38.24","36","8.33","2.22","103","64","27","6","2","4","18","9","9","0","0","6","15","9","24","77","57","0","0","-"
"219","Trevor Daley","DAL","D","44","942.13333333333","4","9","3","6","13","30.95","58","6.90","3.57","147","94","46","7","3","8","14","7","7","0","0","7","20","10","27","40","69","0","0","-"
"230","Gregory Campbell","BOS","C","48","658.35","4","9","6","3","13","56.52","52","7.69","5.46","105","81","62","29","6","6","41","9","3","5","1","8","8","15","71","64","28","189","212","47.13"
"250","Ryan Whitney","EDM","D","34","628.23333333333","4","9","2","7","13","44.83","30","13.33","1.35","57","34","20","3","0","3","23","10","9","1","0","6","35","9","16","34","55","0","0","-"
"252","Jonathan Ericsson","DET","D","45","959.6","3","10","5","5","13","38.24","34","8.82","1.34","90","55","20","1","1","4","29","13","12","1","0","9","30","8","67","56","40","0","0","-"
"273","Ryan Kesler","VAN","C","17","322.16666666667","4","9","5","4","13","72.22","36","11.11","3.97","86","62","43","12","0","3","12","6","6","0","0","8","12","9","30","22","13","174","129","57.43"
"385","Rene Bourque","MTL","R","27","440.91666666667","7","6","4","2","13","59.09","63","11.11","8.4","128","100","74","40","8","6","32","12","11","0","1","14","6","8","37","47","11","0","1","0.00"
"404","Jakub Kindl","DET","D","41","760.8","4","9","3","6","13","33.33","76","5.26","3.45","157","107","37","5","3","7","28","14","14","0","0","6","30","8","46","56","33","0","0","-"
"414","Justin Abdelkader","DET","L","48","710.95","10","3","2","1","13","56.52","96","10.42","11.01","147","125","86","55","5","6","34","14","12","2","0","20","10","10","120","73","13","65","60","52.00"
"476","Matt Beleskey","ANA","L","42","504.68333333333","8","5","4","1","13","65.00","61","13.11","4.95","111","85","58","23","6","5","56","19","13","6","0","12","11","8","103","44","16","6","13","31.58"
"534","Nick Bonino","ANA","C","27","428.93333333333","5","8","7","1","13","61.90","37","13.51","3.85","69","53","46","20","3","5","8","3","3","0","0","4","8","16","11","39","49","138","157","46.78"
"562","Nick Spaling","NSH","C","47","745.43333333333","9","4","3","1","13","72.22","57","15.79","6.31","105","81","54","32","5","5","18","9","9","0","0","8","7","22","38","39","21","223","259","46.27"
"587","Matt Frattin","TOR","R","25","330.65","7","6","2","4","13","72.22","42","16.67","4.28","79","58","41","19","5","6","4","2","2","0","0","4","13","10","55","48","11","5","3","62.50"
"660","Tommy Wingels","S.J","C","42","597.8","5","8","5","3","13","72.22","69","7.25","5.83","105","83","47","29","2","4","26","10","8","2","0","14","12","18","115","57","32","4","12","25.00"
"712","Tyson Barrie","COL","D","32","690.61666666667","2","11","5","6","13","54.17","58","3.45","3.19","143","95","27","4","1","10","10","5","5","0","0","6","15","13","31","39","24","0","0","-"
"718","Drew Shore","FLA","C","43","679.7","3","10","7","3","13","52.00","96","3.13","9.61","163","122","93","44","6","15","14","7","7","0","0","3","10","19","37","79","18","212","231","47.86"
"735","Marcus Kruger","CHI","C","47","665.78333333333","4","9","5","4","13","61.90","50","8.00","3.73","74","60","49","23","5","2","24","12","12","0","0","6","6","24","12","86","29","228","265","46.25"
"768","Jaden Schwartz","STL","L","45","561.06666666667","7","6","4","2","13","68.42","50","14.00","4.62","84","64","54","31","8","2","4","2","2","0","0","5","9","21","34","52","18","15","12","55.56"
"49","Michal Rozsival","CHI","D","27","489.01666666667","0","12","4","8","12","40.00","13","0.00","0.79","43","27","6","1","0","1","14","7","7","0","0","1","13","10","44","78","28","0","2","0.00"
"60","Eric Brewer","T.B","D","48","984.63333333333","4","8","5","3","12","26.67","56","7.14","2.41","136","80","28","3","3","5","30","15","15","0","0","2","30","13","88","52","94","0","0","-"
"93","Shawn Horcoff","EDM","C","31","522.5","7","5","1","4","12","38.71","41","17.07","4.88","60","51","40","23","3","2","24","12","12","0","0","6","19","6","24","10","20","245","255","49.00"
"95","Rob Scuderi","L.A","D","48","1045.9833333333","1","11","3","8","12","30.77","33","3.03","0.94","73","47","12","2","0","6","4","2","2","0","0","2","41","6","30","42","66","0","1","0.00"
"98","Chris Neil","OTT","R","48","665.41666666667","4","8","4","4","12","50.00","87","4.60","7.78","136","111","81","41","2","7","140","37","25","6","6","27","9","13","206","81","10","3","3","50.00"
"108","Barret Jackman","STL","D","46","888.78333333333","3","9","6","3","12","33.33","39","7.69","0.77","84","48","17","1","1","3","39","15","12","3","0","8","12","11","70","61","89","0","0","-"
"190","Kevin Bieksa","VAN","D","36","789.86666666667","6","6","1","5","12","29.27","77","7.79","3.76","162","112","52","12","5","8","48","21","19","2","0","15","23","21","60","50","50","0","0","-"
"198","Johnny Oduya","CHI","D","48","985","3","9","3","6","12","30.00","52","5.77","1.88","119","77","30","3","3","1","10","5","5","0","0","2","24","19","24","114","79","0","0","-"
"206","Keith Aucoin","NYI","C","41","512.2","6","6","4","2","12","50.00","50","12.00","4.73","92","68","53","23","2","4","4","2","2","0","0","8","18","21","33","34","21","167","177","48.55"
"309","Kyle Brodziak","MIN","C","48","833.03333333333","8","4","1","3","12","44.44","88","9.09","8.36","151","120","81","32","4","5","20","6","5","0","1","8","22","22","54","42","18","377","386","49.41"
"343","Blake Comeau","CBJ, CGY","L","42","510.53333333333","6","6","4","2","12","70.59","48","12.50","3.99","95","69","43","19","4","6","20","10","10","0","0","3","10","7","95","33","12","40","46","46.51"
"352","Andrej Sekera","BUF","D","37","784.7","2","10","4","6","12","41.38","33","6.06","2.01","85","48","20","7","2","6","4","2","2","0","0","2","19","10","30","55","73","0","0","-"
"353","Alexei Emelin","MTL","D","38","747.33333333333","3","9","4","5","12","44.44","33","9.09","1.63","103","58","18","2","0","7","33","12","9","3","0","11","32","8","110","55","47","0","0","-"
"389","Cody McLeod","COL","L","48","628.25","8","4","2","2","12","66.67","79","10.13","8.55","128","112","82","47","4","11","81","22","13","7","2","17","2","9","106","42","17","7","10","41.18"
"398","Jack Skille","FLA","R","40","532.95","3","9","6","3","12","75.00","69","4.35","5.94","119","99","66","30","4","4","11","4","3","1","0","11","3","12","96","64","15","8","8","50.00"
"478","Jeff Petry","EDM","D","48","1051.6333333333","3","9","4","5","12","31.58","66","4.55","2.86","141","96","32","6","4","4","29","13","12","1","0","12","46","32","112","76","86","0","1","0.00"
"502","Andrew MacDonald","NYI","D","48","1129.15","3","9","3","6","12","25.53","45","6.67","2.79","112","66","26","4","3","5","20","10","10","0","0","6","36","24","26","84","123","0","0","-"
"503","Erik Condra","OTT","R","48","632.36666666667","4","8","4","4","12","63.16","73","5.48","7.29","127","103","71","36","7","6","34","17","17","0","0","15","14","27","12","78","32","8","13","38.10"
"646","Andrei Loktionov","N.J","C","28","399.13333333333","8","4","3","1","12","63.16","47","17.02","4.18","76","61","43","16","0","1","4","2","2","0","0","4","10","19","6","28","8","80","126","38.83"
"723","Craig Smith","NSH","R","44","609.7","4","8","5","3","12","57.14","83","4.82","7.39","136","106","71","33","3","11","20","10","10","0","0","7","17","21","39","39","13","79","121","39.50"
"745","Matt Irwin","S.J","D","38","725.83333333333","6","6","2","4","12","35.29","79","7.59","3.13","176","104","40","5","3","17","10","5","5","0","0","4","29","16","39","92","65","0","0","-"
"778","Ryan Johansen","CBJ","C","40","643.36666666667","5","7","5","2","12","50.00","84","5.95","7.85","118","103","71","48","6","5","12","6","6","0","0","8","6","15","42","30","14","272","257","51.42"
"22","Milan Hejduk","COL","R","29","381.11666666667","4","7","5","2","11","73.33","41","9.76","4.37","69","51","48","23","2","3","0","0","0","0","0","1","16","6","6","21","8","2","4","33.33"
"37","Derek Morris","PHX","D","39","834.45","0","11","4","7","11","42.31","68","0.00","2.66","153","111","19","2","1","9","36","18","18","0","0","6","15","10","92","54","69","0","0","-"
"107","Taylor Pyatt","NYR","L","48","628.81666666667","6","5","4","1","11","50.00","56","10.71","5.77","93","80","67","36","1","4","6","3","3","0","0","2","10","11","85","89","28","4","6","40.00"
"134","Scott Hartnell","PHI","L","32","507.86666666667","8","3","3","0","11","40.74","74","10.81","8.55","128","109","82","43","4","11","70","28","25","2","1","21","21","11","68","45","21","3","1","75.00"
"153","John-Michael Liles","TOR","D","32","600.56666666667","2","9","5","4","11","50.00","47","4.26","2.49","95","63","17","2","1","2","4","2","2","0","0","8","22","8","45","51","52","0","1","0.00"
"232","Eric Nystrom","DAL","L","48","688.8","7","4","3","1","11","44.00","49","14.29","5.88","107","82","58","36","5","5","61","20","13","7","0","13","12","19","122","74","26","15","11","57.69"
"302","Marc Methot","OTT","D","47","1044.7166666667","2","9","5","4","11","29.73","53","3.77","1.71","97","69","20","5","2","6","31","14","13","1","0","10","20","7","130","73","81","0","0","-"
"333","Lauri Korpikoski","PHX","L","36","616.43333333333","6","5","3","2","11","47.83","83","7.23","7.37","153","114","76","39","7","6","12","6","6","0","0","7","5","18","71","49","27","6","10","37.50"
"357","Tyler Kennedy","PIT","C","46","573.21666666667","6","5","1","4","11","50.00","100","6.00","6.21","169","122","69","24","4","9","19","8","7","1","0","11","9","9","41","77","9","13","16","44.83"
"402","Marc Staal","NYR","D","21","513.71666666667","2","9","4","5","11","45.83","20","10.00","2.18","71","40","21","7","1","4","14","7","7","0","0","2","12","4","47","27","36","0","0","-"
"528","Rob Klinkhammer","PHX","L","22","269.06666666667","5","6","4","2","11","91.67","34","14.71","3.52","58","47","41","18","0","3","10","4","4","0","0","4","1","5","65","28","6","2","0","100.00"
"560","Matt Halischuk","NSH","R","36","430.21666666667","5","6","6","0","11","78.57","51","9.80","4.7","74","65","52","32","5","5","10","5","5","0","0","2","12","13","33","36","21","2","4","33.33"
"605","Luke Schenn","PHI","D","47","1027.55","3","8","2","6","11","26.19","81","3.70","3.81","161","104","42","5","4","9","34","14","12","2","0","8","31","14","187","111","102","0","0","-"
"653","Matt Martin","NYI","L","48","571.51666666667","4","7","7","0","11","52.38","67","5.97","6.33","106","86","69","31","4","5","63","21","14","7","0","22","12","10","234","66","22","6","12","33.33"
"700","Zack Kassian","VAN","R","39","525.73333333333","7","4","2","2","11","55.00","49","14.29","5.64","101","75","58","28","6","5","51","14","8","5","1","13","20","10","70","32","4","6","8","42.86"
"746","Bobby Butler","N.J, NSH","R","34","367.31666666667","4","7","4","3","11","68.75","41","9.76","4.62","71","54","48","21","5","4","4","2","2","0","0","8","4","7","15","30","4","2","3","40.00"
"765","Cam Fowler","ANA","D","37","756.25","1","10","1","9","11","34.38","50","2.00","2.93","119","69","37","7","2","1","4","2","2","0","0","6","30","5","19","43","41","0","0","-"
"812","Jonas Brodin","MIN","D","45","1044.5833333333","2","9","3","6","11","29.73","51","3.92","1.57","107","68","19","2","0","4","10","4","4","0","0","4","15","18","17","65","60","0","0","-"
"824","Brian Flynn","BUF","C","26","381.68333333333","6","5","2","3","11","73.33","49","12.24","3.2","73","60","35","11","2","2","0","0","0","0","0","5","3","9","10","23","20","24","36","40.00"
"34","Filip Kuba","FLA","D","44","933.83333333333","1","9","4","5","10","32.26","50","2.00","2.24","82","66","16","4","2","7","24","12","12","0","0","5","17","14","37","40","69","0","0","-"
"111","Jordan Leopold","BUF, STL","D","39","781.98333333333","2","8","4","4","10","38.46","60","3.33","2.75","121","81","27","6","4","5","14","7","7","0","0","3","14","7","39","56","57","0","0","-"
"183","Jay Harrison","CAR","D","47","935.66666666667","3","7","4","3","10","28.57","54","5.56","2.34","122","77","31","7","2","5","51","21","18","3","0","7","24","12","83","50","110","0","0","-"
"231","Max Talbot","PHI","C","35","540.11666666667","5","5","3","2","10","55.56","41","12.20","3.51","69","54","42","17","3","4","23","10","9","1","0","10","9","9","57","45","27","92","100","47.92"
"255","Andre Benoit","OTT","D","33","541.78333333333","3","7","2","5","10","41.67","50","6.00","2.83","119","72","31","10","4","6","8","4","4","0","0","2","17","7","29","59","54","0","0","-"
"285","Maxim Lapierre","VAN","C","48","604.58333333333","4","6","5","1","10","71.43","54","7.41","5.03","92","76","49","28","4","5","45","17","15","1","1","5","13","14","116","43","18","274","268","50.55"
"292","Jan Hejda","COL","D","46","906.16666666667","1","9","3","6","10","34.48","50","2.00","1.34","118","70","16","1","1","8","28","10","8","2","0","5","29","18","96","71","102","0","1","0.00"
"319","Clayton Stoner","MIN","D","48","874.3","0","10","2","8","10","34.48","40","0.00","1.05","93","59","15","3","3","3","42","15","11","4","0","6","21","12","87","83","57","0","0","-"
"393","Guillaume Latendresse","OTT","L","27","399.61666666667","6","4","3","1","10","52.63","53","11.32","6.86","98","74","61","30","4","5","8","4","4","0","0","2","7","14","42","22","8","0","4","0.00"
"430","Niklas Hjalmarsson","CHI","D","46","961.75","2","8","3","5","10","24.39","43","4.65","1.66","99","63","15","1","1","5","22","11","11","0","0","3","40","29","26","80","94","0","0","-"
"432","Nathan Gerbe","BUF","C","42","525.16666666667","5","5","3","2","10","71.43","64","7.81","4.57","110","84","52","14","2","6","14","7","7","0","0","6","17","12","32","20","8","0","1","0.00"
"477","Cal Clutterbuck","MIN","R","42","576.85","4","6","4","2","10","90.91","87","4.60","5.66","149","114","60","20","8","7","27","12","11","1","0","14","10","13","155","72","17","1","1","50.00"
"494","Michael Frolik","CHI","R","45","563.3","3","7","3","4","10","47.62","98","3.06","5.64","160","125","73","14","11","5","8","4","4","0","0","5","6","42","32","79","23","15","25","37.50"
"523","Ben Lovejoy","ANA, PIT","D","35","623.91666666667","0","10","3","7","10","35.71","58","0.00","2.02","105","78","19","2","1","5","29","12","11","1","0","6","8","8","76","63","42","0","0","-"
"564","Dwight King","L.A","L","47","599.53333333333","4","6","3","3","10","62.50","60","6.67","5.66","104","89","55","23","3","3","11","3","2","1","0","6","11","14","58","79","9","2","4","33.33"
"566","TJ Brennan","BUF, FLA","D","29","483.96666666667","3","7","4","3","10","47.62","42","7.14","2.67","107","74","24","4","5","6","8","4","4","0","0","11","8","12","31","49","32","0","0","-"
"629","Travis Hamonic","NYI","D","48","1094.5833333333","3","7","2","5","10","22.22","83","3.61","3.05","189","125","37","3","5","6","28","14","14","0","0","10","46","34","59","66","109","0","0","-"
"701","Dmitry Kulikov","FLA","D","34","713.2","3","7","3","4","10","29.41","52","5.77","2.61","112","76","20","5","2","3","22","11","11","0","0","8","23","9","84","99","49","0","0","-"
"770","Emerson Etem","ANA","L","38","435.55","3","7","6","1","10","62.50","48","6.25","4.65","89","72","56","27","8","9","9","3","2","1","0","5","5","11","43","53","20","2","3","40.00"
"774","Alexander Burmistrov","WPG","C","44","688.15","4","6","3","3","10","55.56","55","7.27","5.97","113","81","61","27","5","6","14","7","7","0","0","14","17","22","106","50","16","142","159","47.18"
"790","Ryan Garbutt","DAL","C","36","357.18333333333","3","7","4","3","10","66.67","59","5.08","4.89","103","74","48","18","3","7","32","13","11","2","0","9","3","11","67","43","9","7","10","41.18"
"814","Sven Baertschi","CGY","L","20","267.96666666667","3","7","4","3","10","71.43","28","10.71","2.85","44","36","31","16","0","3","6","3","3","0","0","6","5","12","12","28","5","1","0","100.00"
"40","Dainius Zubrus","N.J","C","22","369.26666666667","2","7","5","2","9","81.82","22","9.09","2.38","39","32","26","15","2","6","12","5","5","0","0","4","6","6","31","27","9","11","17","39.29"
"51","Craig Adams","PIT","R","48","535.76666666667","3","6","3","3","9","75.00","46","6.52","3.67","71","58","31","11","2","3","28","11","9","2","0","14","7","5","107","43","37","51","47","52.04"
"54","Francis Bouillon","MTL","D","48","867.65","1","8","4","4","9","20.45","46","2.17","1.56","101","59","18","2","0","5","21","9","8","1","0","6","34","9","78","65","50","0","0","-"
"92","Alexei Ponikarovsky","N.J, WPG","L","42","552.66666666667","4","5","2","3","9","52.94","51","7.84","5.2","101","81","64","31","5","3","14","7","7","0","0","4","7","4","81","36","15","2","5","28.57"
"114","Chris Kelly","BOS","C","34","509.08333333333","3","6","3","3","9","81.82","40","7.50","4.38","70","54","42","18","4","4","16","8","8","0","0","10","9","19","43","32","20","216","157","57.91"
"129","Mike Weaver","FLA","D","27","543.73333333333","1","8","3","5","9","47.37","21","4.76","0.79","44","28","9","2","0","2","8","4","4","0","0","6","10","4","49","61","51","0","0","-"
"142","Nick Schultz","EDM","D","48","894.35","1","8","3","5","9","33.33","33","3.03","1.42","68","47","5","2","0","2","24","11","11","0","0","3","27","9","52","87","106","0","2","0.00"
"165","Tuomo Ruutu","CAR","L","17","259.06666666667","4","5","3","2","9","75.00","30","13.33","3.33","59","40","34","15","2","4","8","4","4","0","0","1","8","12","51","50","7","1","7","12.50"
"168","Chuck Kobasew","COL","R","37","416.98333333333","5","4","3","1","9","60.00","43","11.63","4.07","73","56","43","22","1","5","21","9","8","1","0","8","4","14","34","36","17","18","31","36.73"
"173","Tim Gleason","CAR","D","42","820.21666666667","0","9","3","6","9","27.27","36","0.00","1.34","100","57","24","3","5","9","40","10","5","4","1","13","11","10","90","39","64","0","0","-"
"204","Marc-Andre Bergeron","CAR, T.B","D","25","344.13333333333","1","8","3","5","9","45.00","43","2.33","1.97","96","62","19","1","0","8","9","3","2","1","0","4","11","7","16","22","19","0","0","-"
"223","Joni Pitkanen","CAR","D","22","501.98333333333","1","8","5","3","9","40.91","34","2.94","1.36","73","48","15","2","0","1","12","6","6","0","0","3","12","11","16","38","34","0","0","-"
"253","Josh Gorges","MTL","D","48","1026.6166666667","2","7","3","4","9","25.00","40","5.00","1.33","95","62","20","3","6","6","15","6","5","1","0","6","18","8","68","120","116","0","0","-"
"318","David Jones","COL","R","33","555.1","3","6","5","1","9","69.23","62","4.84","6.17","102","80","69","41","3","6","6","3","3","0","0","5","11","9","45","37","20","6","15","28.57"
"335","Wojtek Wolski","WSH","L","27","360.45","4","5","4","1","9","60.00","49","8.16","4.66","80","68","53","30","2","2","6","3","3","0","0","1","13","12","5","21","9","1","4","20.00"
"363","Kevin Porter","BUF","C","31","472.08333333333","4","5","4","1","9","75.00","37","10.81","3","63","47","38","16","3","3","10","5","5","0","0","7","9","21","56","42","18","109","162","40.22"
"367","Nikita Nikitin","CBJ","D","38","805.5","3","6","3","3","9","28.13","60","5.00","2.95","143","95","31","1","2","2","17","7","6","1","0","7","18","11","31","61","56","0","0","-"
"375","Lennart Petrell","EDM","L","35","403.58333333333","3","6","2","4","9","90.00","23","13.04","2.09","46","35","26","9","4","2","4","2","2","0","0","1","8","5","63","34","22","3","10","23.08"
"419","Rich Clune","NSH","L","47","442.06666666667","4","5","3","2","9","64.29","46","8.70","4.96","76","61","35","17","2","5","113","32","18","13","1","26","6","4","159","55","6","0","2","0.00"
"464","Derek Dorsett","CBJ","R","24","383.75","3","6","1","5","9","64.29","38","7.89","3.73","58","45","33","19","1","4","53","19","14","5","0","22","1","5","55","32","10","13","10","56.52"
"468","Leo Komarov","TOR","C","42","585.3","4","5","1","4","9","56.25","51","7.84","5.43","96","79","59","25","2","5","18","9","9","0","0","15","15","16","176","47","24","29","28","50.88"
"539","Aaron Palushaj","COL","R","25","282.88333333333","2","7","3","4","9","64.29","29","6.90","1.9","49","37","22","11","1","3","8","4","4","0","0","9","5","8","32","33","13","2","6","25.00"
"553","Riley Nash","CAR","C","32","409.61666666667","4","5","5","0","9","69.23","36","11.11","3.88","63","52","36","21","2","5","8","4","4","0","0","4","3","31","36","49","10","128","161","44.29"
"556","Paul Postma","WPG","D","34","510.96666666667","4","5","4","1","9","42.86","32","12.50","2.46","93","60","25","6","3","5","6","3","3","0","0","1","16","9","17","53","27","0","0","-"
"596","Jack Hillen","WSH","D","23","405.08333333333","3","6","4","2","9","45.00","28","10.71","1.16","60","43","15","1","1","4","14","7","7","0","0","2","13","2","10","53","35","0","0","-"
"635","Michael Stone","PHX","D","40","667.46666666667","5","4","3","1","9","34.62","51","9.80","2.05","105","73","10","3","2","6","16","8","8","0","0","4","4","8","89","45","64","0","0","-"
"678","Jordan Schroeder","VAN","C","31","425.1","3","6","5","1","9","50.00","28","10.71","2.97","65","40","45","15","1","4","4","2","2","0","0","1","5","14","10","20","11","140","181","43.61"
"708","Reilly Smith","DAL","R","37","403.93333333333","3","6","4","2","9","75.00","34","8.82","4.24","65","51","45","23","0","5","8","4","4","0","0","9","13","14","18","43","6","3","1","75.00"
"717","Richard Panik","T.B","R","25","283.21666666667","5","4","2","2","9","69.23","34","14.71","2.83","56","44","28","14","0","4","4","2","2","0","0","7","7","13","38","42","13","1","2","33.33"
"792","Steve Oleksy","WSH","D","28","483.5","1","8","2","6","9","37.50","25","4.00","0.92","70","38","13","1","0","5","33","12","9","3","0","11","14","5","58","63","52","0","0","-"
"5","Mike Knuble","PHI","R","28","361.75","4","4","3","1","8","57.14","31","12.90","2.73","55","42","31","15","1","4","20","9","9","0","0","2","3","3","25","25","11","4","3","57.14"
"32","Michal Handzus","CHI, S.J","C","39","512.25","2","6","4","2","8","61.54","41","4.88","3.65","68","57","43","19","10","3","16","8","8","0","0","5","14","16","31","41","30","236","190","55.40"
"43","Steve Begin","CGY","L","36","287.76666666667","4","4","0","4","8","61.54","31","12.90","2.96","58","49","35","17","3","4","22","5","1","4","0","7","7","4","62","15","21","57","60","48.72"
"116","Ryan Malone","T.B","L","24","377.71666666667","6","2","0","2","8","33.33","37","16.22","3.47","55","48","32","21","3","5","22","11","11","0","0","8","7","14","49","24","9","9","14","39.13"
"117","Derek MacKenzie","CBJ","C","43","444.56666666667","3","5","2","3","8","61.54","33","9.09","2.8","60","45","23","11","3","2","36","12","8","4","0","19","5","12","122","29","19","192","131","59.44"
"132","Rostislav Klesla","PHX","D","38","669.83333333333","2","6","3","3","8","34.78","44","4.55","1.82","96","66","16","3","1","5","22","11","11","0","0","3","5","4","40","70","60","0","0","-"
"136","Brooks Orpik","PIT","D","46","1025.3166666667","0","8","3","5","8","16.67","32","0.00","0.71","72","44","13","1","0","1","32","16","16","0","0","10","19","5","119","74","114","0","0","-"
"150","Matt Hendricks","WSH","L","48","562.68333333333","5","3","1","2","8","66.67","54","9.26","5.36","105","81","60","27","4","5","73","22","14","7","1","20","12","15","93","74","31","147","112","56.76"
"156","Matthew Lombardi","ANA, PHX","C","28","390.93333333333","4","4","2","2","8","57.14","44","9.09","3.75","77","55","41","17","2","2","8","4","4","0","0","2","8","7","24","36","14","105","131","44.49"
"186","Jordin Tootoo","DET","R","42","381.48333333333","3","5","4","1","8","80.00","45","6.67","2.96","79","60","32","13","2","5","78","19","9","8","2","21","8","11","68","46","7","0","0","-"
"277","Patrick Eaves","DET","R","34","359.8","2","6","4","2","8","72.73","42","4.76","3.42","75","61","44","14","7","1","4","2","2","0","0","1","4","7","40","37","11","7","4","63.64"
"284","B.J. Crombeen","T.B","R","44","487.63333333333","1","7","5","2","8","72.73","50","2.00","3.95","84","72","33","15","4","3","112","27","11","14","2","18","7","11","44","54","15","4","16","20.00"
"306","Drew Miller","DET","L","44","607.95","4","4","2","2","8","72.73","54","7.41","5.61","88","74","60","31","1","4","2","1","1","0","0","2","8","12","81","69","41","1","3","25.00"
"317","Chris Porter","STL","L","29","337.43333333333","2","6","4","2","8","66.67","46","4.35","3.47","66","56","40","21","5","3","0","0","0","0","0","2","2","5","65","34","5","25","33","43.10"
"364","Torrey Mitchell","MIN","C","45","472.43333333333","4","4","3","1","8","100.00","39","10.26","4.39","73","61","45","25","2","5","21","9","8","1","0","14","8","14","47","29","22","21","21","50.00"
"379","Brandon Yip","NSH","R","34","409.36666666667","3","5","3","2","8","66.67","35","8.57","2.28","54","47","21","12","3","2","26","10","8","2","0","8","12","6","46","26","7","8","13","38.10"
"423","Mark Fraser","TOR","D","45","763.08333333333","0","8","7","1","8","17.39","33","0.00","0.88","91","50","19","1","3","4","85","25","15","9","1","14","26","13","153","105","102","0","0","-"
"425","Chris Butler","CGY","D","44","749.15","1","7","3","4","8","29.63","40","2.50","1.51","77","53","13","4","1","8","19","8","7","1","0","5","21","8","53","61","74","0","0","-"
"491","Cory Emmerton","DET","C","48","518.95","5","3","1","2","8","66.67","55","9.09","4.69","87","72","49","26","3","2","4","2","2","0","0","4","2","10","28","42","26","187","226","45.28"
